n_agents,p_rewiring,densify_valence,rewiring_type,uncertainty,n_experiments,mean_degree,true_consensus,convergence_step,agent_type
3519,0.7876016981901685,False,density,0.0067089504739775,8759,0.9030974708724068,0.5143506678033533,10,bayes
3519,0.5406525980024565,False,density,0.0069037641062121,7782,2.004546746234726,0.5069622051719238,11,bayes
3519,0.9586609659562296,False,density,0.0107922418272621,9668,0.1818698493890309,0.5203182722364308,5,bayes
3519,0.0189260289486141,False,density,0.0123409901420165,6602,4.256891162262006,0.5339585109406081,5,bayes
3519,0.2777716444377193,False,density,0.0224792834197308,9348,3.1452117078715545,0.5538505257175333,3,bayes
3519,0.0748881997826046,False,density,0.0058915365241405,667,3.998294970161978,0.4163114521170787,139,bayes
3519,0.6821492897095585,False,density,0.0122929747079892,6222,1.4026712134129014,0.5353793691389599,6,bayes
3519,0.9330734866717754,True,density,0.0119183203953451,7317,6565.486786018755,1.0,2,bayes
3519,0.3980332075560086,True,density,0.0144726855446264,7325,2803.1815856777494,1.0,2,bayes
3519,0.8600140602849595,True,density,0.0037531350623087,3214,6051.704461494743,1.0,2,bayes
3519,0.6177599913046533,True,density,0.0107172986314693,7520,4348.261437908497,1.0,2,bayes
3519,0.2204762244500628,True,density,0.0157311069322764,7832,1554.6786018755329,1.0,2,bayes
3519,0.6716594394490686,False,density,0.018334991900690625,3269,1.4214265416311451,0.5376527422563229,5,bayes
3519,0.1926556830986781,False,density,0.007858065440159337,2195,3.466894003978403,0.470872406933788,26,bayes
3519,0.9637670877166266,False,density,0.017101236217784598,4504,0.16709292412617222,0.5112247797669792,4,bayes
3519,0.3748467351403223,False,density,0.0017154374139653418,5841,2.7479397556123897,0.4234157431088377,161,bayes
3519,0.1526413784238424,False,density,0.007532399636889642,2490,3.706166524580847,0.470872406933788,20,bayes
3519,0.24715551685111803,False,density,0.0066667421646932025,5893,3.2679738562091503,0.5001420858198352,17,bayes
3519,0.30590390994373595,False,density,0.006532599898758638,3478,3.001420858198352,0.4666098323387326,22,bayes
3519,0.05575800331602754,False,density,0.02016128370362333,802,4.117078715544189,0.5069622051719238,15,bayes
3519,0.33747562817248766,False,density,0.010477139234933583,2383,2.892298948564933,0.5083830633702756,13,bayes
3519,0.6132830465423371,False,density,0.010396623434244433,2140,1.6987780619494175,0.49843705598181304,16,bayes
3519,0.9208264683807413,False,density,0.009855871382442736,981,0.3483944302358625,0.43052003410059675,58,bayes
3519,0.7690727021259833,False,density,0.024956865296845022,6356,0.986643932935493,0.5294117647058824,3,bayes
3519,0.4831164352434686,False,density,0.010966280544375002,5829,2.2728047740835464,0.5353793691389599,6,bayes
3519,0.44908353571115955,False,density,0.017319543246126022,2176,2.3518044899119066,0.5277067348678602,6,bayes
3519,0.8561146769635196,False,density,0.016934223919411323,1516,0.629156010230179,0.5052571753339017,9,bayes
3519,0.11498069023387059,False,density,0.023787122605081732,547,3.8800795680591076,0.5137823245240125,11,bayes
3519,0.08518929937277175,False,density,0.020683310970741886,8628,3.9892014776925264,0.5368002273373117,3,bayes
